Date,Open,High,Low,Close,Volume
2/8/2021 16:00:00,31191.2,31386.1,31191.2,31385.76,328411166
2/9/2021 16:00:00,31359.88,31439.47,31245.86,31375.83,310138270
2/10/2021 16:00:00,31428.02,31511.44,31221.32,31437.8,328392889
2/11/2021 16:00:00,31466.49,31543.82,31244.36,31430.7,284681675
2/12/2021 16:00:00,31420.8,31475.31,31347.8,31458.4,266370407
2/16/2021 16:00:00,31472.08,31608.63,31443.48,31522.75,336992511
2/17/2021 16:00:00,31485.61,31643.7,31338.76,31613.02,345858293
2/18/2021 16:00:00,31558.6,31558.6,31285.32,31493.34,325989398
2/19/2021 16:00:00,31504.13,31647.53,31469.34,31494.32,353065415
2/22/2021 16:00:00,31381.12,31653.48,31286.57,31521.69,389675104
2/23/2021 16:00:00,31501.89,31653.38,31158.76,31537.35,461919208
2/24/2021 16:00:00,31499.75,32009.64,31421.29,31961.86,413352552
2/25/2021 16:00:00,31955.94,31984.77,31293.32,31402.01,458959961
2/26/2021 16:00:00,31401.29,31450.89,30911.37,30932.37,538907029
3/1/2021 16:00:00,31065.9,31668.34,31065.9,31535.51,387580310
3/2/2021 16:00:00,31535.37,31623.27,31377.16,31391.52,341279622
3/3/2021 16:00:00,31352.96,31563.31,31260.14,31270.09,411608017
3/4/2021 16:00:00,31289.01,31461.97,30547.53,30924.14,551231883
3/5/2021 16:00:00,31029.18,31580.33,30766.81,31496.3,505347596
3/8/2021 16:00:00,31512.15,32148.04,31512.15,31802.44,499577604
3/9/2021 16:00:00,31892.35,32150.32,31822.64,31832.74,463744415
3/10/2021 16:00:00,31906.96,32389.5,31906.96,32297.02,410225481
3/11/2021 16:00:00,32354.5,32661.59,32345.7,32485.59,402404342
3/12/2021 16:00:00,32462.4,32793.32,32462.4,32778.64,348286819
3/15/2021 16:00:00,32798.84,32973.4,32629.75,32953.46,362084053
3/16/2021 16:00:00,32966.75,32966.75,32778.23,32825.95,387907889
3/17/2021 16:00:00,32825.52,33047.58,32782.18,33015.37,391809674
3/18/2021 16:00:00,32928.16,33227.78,32831.25,32862.3,421021919
3/19/2021 16:00:00,32858.36,32858.36,32505.07,32627.97,847020953
3/22/2021 16:00:00,32601.82,32810.35,32512.53,32731.2,384319316
3/23/2021 16:00:00,32691.5,32753.77,32356.28,32423.15,388128938
3/24/2021 16:00:00,32470.88,32787.99,32418.15,32420.06,405055025
3/25/2021 16:00:00,32346.81,32672.69,32071.41,32619.48,413490634
3/26/2021 16:00:00,32681.07,33098.83,32681.07,33072.88,383452285
3/29/2021 16:00:00,33087.55,33259,32905.13,33171.37,351610590
3/30/2021 16:00:00,33127.88,33170.93,32988.92,33066.96,309568606
3/31/2021 16:00:00,33116.04,33173.77,32980.57,32981.55,418638143
4/1/2021 16:00:00,33054.58,33167.17,32985.35,33153.21,318342433
4/5/2021 16:00:00,33222.38,33617.95,33222.38,33527.19,345154648
4/6/2021 16:00:00,33500.02,33544.79,33380.43,33430.24,298306719
4/7/2021 16:00:00,33444.98,33521.76,33347.96,33446.26,279877506
4/8/2021 16:00:00,33469.89,33506.8,33342.64,33503.57,306194502
4/9/2021 16:00:00,33526.19,33810.87,33526.19,33800.6,317816565
4/12/2021 16:00:00,33775.06,33786.19,33665.54,33745.4,329018654
4/13/2021 16:00:00,33721.16,33741.64,33545.84,33677.27,329999940
4/14/2021 16:00:00,33668.95,33911.25,33668.95,33730.89,318672305
4/15/2021 16:00:00,33788.53,34068.73,33788.53,34035.99,321833586
4/16/2021 16:00:00,34058.16,34256.75,34058.16,34200.67,348181803
4/19/2021 16:00:00,34182.38,34182.38,33980.56,34077.63,315622449
4/20/2021 16:00:00,34034.18,34034.18,33687.01,33821.3,354199421
4/21/2021 16:00:00,33808.3,34160.34,33773.8,34137.31,293512254
4/22/2021 16:00:00,34109.88,34126.57,33717.19,33815.9,346575196
4/23/2021 16:00:00,33804.52,34157.57,33713.29,34043.49,349669057
