Date,Price,Open,High,Low,Change %
11/14/2016,78.83,77.22,80.45,75.54,1.00%
11/11/2016,78.05,83.58,83.92,77.51,-6.88%
11/10/2016,83.82,89.47,89.57,83.32,-6.69%
11/9/2016,89.83,88.11,92.36,87.99,3.03%
11/8/2016,87.19,87.1,89.27,85.76,0.54%
11/7/2016,86.72,87.61,87.81,85.34,-2.69%
11/4/2016,89.12,89.23,89.68,87.98,-0.24%
11/3/2016,89.33,87.65,90.16,87.23,1.84%
11/2/2016,87.72,90.48,92.16,87.01,-1.78%
11/1/2016,89.31,88.71,90.61,88.33,2.71%
10/31/2016,86.95,85.08,86.99,84.21,2.57%
10/28/2016,84.77,83.99,86.17,83.55,0.61%
10/27/2016,84.26,85.9,86.35,83.42,-1.37%
10/26/2016,85.43,86.92,87.51,84.45,-2.15%
10/25/2016,87.31,85.69,88.21,85.65,2.51%
10/24/2016,85.17,87.36,87.67,84.1,-1.96%
10/21/2016,86.87,86.99,87.45,86.31,-0.69%
10/20/2016,87.47,87.54,87.61,85.72,-0.14%
10/19/2016,87.59,86.3,88.14,85.57,2.64%
10/18/2016,85.34,83.44,85.44,82.96,3.78%
10/17/2016,82.23,81.26,82.88,81.24,1.48%
10/14/2016,81.03,82.09,83.35,80.72,-1.89%
10/13/2016,82.59,82.16,84.83,80.77,0.81%
10/12/2016,81.93,80.44,82.82,80.26,2.20%
10/11/2016,80.17,81.59,81.94,79.88,-2.15%
10/10/2016,81.93,82.03,82.85,81.5,0.75%
10/7/2016,81.32,82.56,84.23,80.08,-0.15%
10/6/2016,81.44,82.61,82.81,80.65,-2.91%
10/5/2016,83.88,84.21,84.97,81.85,0.55%
10/4/2016,83.42,90.73,90.73,83.23,-9.40%
10/3/2016,92.07,93.91,94.73,91.19,-2.05%
09/30/2016,94,96.27,97.02,93.95,-1.06%
09/29/2016,95.01,95.08,96,93.59,-0.69%
09/28/2016,95.67,93.15,96.17,91.64,2.89%
09/27/2016,92.98,93.53,93.81,91.73,-1.56%
09/26/2016,94.45,96.13,97.28,94.44,-1.37%
09/23/2016,95.76,98.26,98.97,95.18,-3.06%
09/22/2016,98.78,100.36,101.76,97.62,-0.42%
09/21/2016,99.2,93.63,99.46,93.63,7.32%
09/20/2016,92.43,92.33,93.06,91.47,0.16%
09/19/2016,92.28,92.37,93.37,91.73,0.85%
09/16/2016,91.5,91.92,93.31,90.3,-1.31%
09/15/2016,92.71,92.03,94.11,90.34,0.47%
09/14/2016,92.28,93.11,94.38,91.4,0.04%
09/13/2016,92.24,95.63,95.63,91.05,-4.66%
9/12/2016,96.75,91.78,97.33,91.48,3.52%
9/9/2016,93.46,98.01,98.01,92.89,-5.86%
9/8/2016,99.28,100.86,101.73,98.69,-1.78%
9/7/2016,101.08,101.15,101.35,98.44,-0.46%
9/6/2016,101.55,98.01,101.57,97.9,5.09%
9/2/2016,96.63,95.11,97.19,94.5,3.55%
9/1/2016,93.32,89.67,93.47,89.03,3.49%
08/31/2016,90.17,90.51,91.5,89.84,-1.82%
08/30/2016,91.84,95.83,96.26,91.05,-5.25%
08/29/2016,96.93,94.67,97.96,94.67,1.18%
08/26/2016,95.8,98.26,100.23,94.78,-0.74%
08/25/2016,96.51,94.72,98.03,93.87,1.23%
08/24/2016,95.34,102.35,102.37,94.81,-8.23%
08/23/2016,103.89,106.35,106.64,103.77,-1.72%
08/22/2016,105.71,105.59,106.04,104.71,-1.84%
08/19/2016,107.69,109.19,109.19,107.32,-2.74%
08/18/2016,110.72,110.09,110.96,109.14,1.35%
08/17/2016,109.24,109.75,110.07,106.6,-1.43%
08/16/2016,110.83,111.96,112.28,110.31,-0.57%
08/15/2016,111.47,111.85,113.04,111.1,-0.23%
8/12/2016,111.73,113.58,114.47,111.31,-0.50%
8/11/2016,112.29,112.8,114.71,112,-0.39%
8/10/2016,112.73,113.08,114.42,111.76,1.47%
8/9/2016,111.1,110.92,111.91,110.52,0.64%
8/8/2016,110.39,109.37,112.06,109.22,0.71%
8/5/2016,109.61,111.43,111.44,108.3,-2.85%
8/4/2016,112.83,111.8,113.58,111.8,0.80%
8/3/2016,111.93,112.21,112.38,110.22,-0.82%
8/2/2016,112.86,112.62,114.17,112.06,1.12%
